,title,version,publish_date,published,e_published
0,僕とロボコ,14,2023.08.04,ジャンプ,jamp
1,アオのハコ,11,2023.08.04,ジャンプ,jamp
2,ウィッチウォッチ,12,2023.08.04,ジャンプ,jamp
3,あかね噺,7,2023.08.04,ジャンプ,jamp
4,一ノ瀬家の大罪,3,2023.08.04,ジャンプ,jamp
5,暗号学園のいろは,3,2023.08.04,ジャンプ,jamp
6,テンマクキネマ,1,2023.08.04,ジャンプ,jamp
7,阿波連さんははかれない,17,2023.08.04,ジャンプ,jamp
8,忘却バッテリー,16,2023.08.04,ジャンプ,jamp
9,チェンソーマン,15,2023.08.04,ジャンプ,jamp
10,ダンダダン,11,2023.08.04,ジャンプ,jamp
11,ハイキュー部!!,10,2023.08.04,ジャンプ,jamp
12,怪獣8号,10,2023.08.04,ジャンプ,jamp
13,トマトイプーのリコピン,8,2023.08.04,ジャンプ,jamp
14,株式会社マジルミエ,8,2023.08.04,ジャンプ,jamp
15,深東京,4,2023.08.04,ジャンプ,jamp
16,サイハテ四重奏,2,2023.08.04,ジャンプ,jamp
17,バイブマン,1,2023.08.04,ジャンプ,jamp
18,偏愛ハートビート,1,2023.08.04,ジャンプ,jamp
19,魔王さまエクスチェンジ!!,1,2023.08.04,ジャンプ,jamp
20,スーパードラゴンボールヒーローズ アバターズ!!,3,2023.08.04,ジャンプ,jamp
21,スーパードラゴンボールヒーローズ ウルトラゴッドミッション!!!!,2,2023.08.04,ジャンプ,jamp
22,怪奇空間ゾゾゾゾーン,2,2023.08.04,ジャンプ,jamp
23,黒岩メダカに私の可愛いが通じない,１０,2023.07.14,マガジン,magazine
24,ＥＤＥＮＳ　ＺＥＲＯ,２７,2023.07.14,マガジン,magazine
25,はじめの一歩,１３８,2023.07.14,マガジン,magazine
26,ガチアクタ,７,2023.07.14,マガジン,magazine
27,極彩色　東京卍リベンジャーズ　Ｂｒｉｌｌｉａｎｔ　Ｆｕｌｌ　Ｃｏｌｏｒ　Ｅｄｉｔｉｏｎ,１３,2023.07.14,マガジン,magazine
28,極彩色　東京卍リベンジャーズ　Ｂｒｉｌｌｉａｎｔ　Ｆｕｌｌ　Ｃｏｌｏｒ　Ｅｄｉｔｉｏｎ,１４,2023.07.14,マガジン,magazine
29,ブルーロック,２５,2023.07.14,マガジン,magazine
30,女神のカフェテラス,１１,2023.07.14,マガジン,magazine
31,カノジョも彼女,１６,2023.07.14,マガジン,magazine
32,それでも歩は寄せてくる,１５,2023.07.14,マガジン,magazine
33,彼女、お借りします,３２,2023.07.14,マガジン,magazine
34,甘神さんちの縁結び,１１,2023.07.14,マガジン,magazine
35,赤羽骨子のボディガード,４,2023.07.14,マガジン,magazine
36,シャングリラ・フロンティア,１４】　～クソゲーハンター、神ゲーに挑まんとす,2023.07.14,マガジン,magazine
37,兎山女子高校２年１組！！,１,2023.07.14,マガジン,magazine
38,ジャイアントお嬢様,7,2023.07.12,サンデー,sunday
39,スクールバック,1,2023.07.12,サンデー,sunday
40,ソアラと魔物の家,3,2023.07.12,サンデー,sunday
41,ツキモノガカリ,1,2023.07.12,サンデー,sunday
42,僕が死ぬだけの百物語,6,2023.07.12,サンデー,sunday
43,あおざくら 防衛大学校物語,29,2023.07.18,サンデー,sunday
44,朱月事変,3,2023.07.18,サンデー,sunday
45,君と悪いことがしたい,3,2023.07.18,サンデー,sunday
46,九龍城でもう一度,3,2023.07.18,サンデー,sunday
47,このマンガのヒロインは守崎あまねです。,5,2023.07.18,サンデー,sunday
48,古見さんは、コミュ症です。,30,2023.07.18,サンデー,sunday
49,第九の波濤,24,2023.07.18,サンデー,sunday
50,ハヤテのごとく！ 完全版,3、4,2023.07.18,サンデー,sunday
51,ビグネス参式,3,2023.07.18,サンデー,sunday
52,魔王城でおやすみ,25,2023.07.18,サンデー,sunday
53,帝乃三姉妹は案外、チョロい。,6,2023.07.18,サンデー,sunday
54,よふかしのうた,17,2023.07.18,サンデー,sunday
